1584197738425Error: Configuration property "salt" is not defined   /api/user/signup
1584634372021TypeError: Cannot read property 'username' of undefined   /api/auth/login
1584634424263TypeError: Cannot read property 'username' of undefined   /api/auth/login
1585236992042SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585237737590SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585238065173TypeError: Cannot read property 'type_name' of null   /api/product/
1585238226838TypeError: Cannot read property 'type_name' of null   /api/product/
1585573097753s_product.name cannot be null   /api/product/createProduct
2020-04-20, 10:40:25 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:40:46 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:40:49 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:40:59 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:41:03 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:41:57 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:42:01 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:42:43 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:42:46 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:42:57 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:43:23 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:43:27 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:43:29 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:43:32 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-25, 7:57:11 午後   (SequelizeDatabaseError: Unknown column 'm_product_type.type_name' in 'where clause')   /api/productType/getOneByTypeName
2020-04-26, 12:37:55 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:37:55 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:37:55 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:37:55 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:37:56 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:37:56 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:38:00 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:40:53 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:40:53 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:40:54 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:40:54 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:40:54 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:40:54 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:41:29 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:41:29 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:41:30 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:41:30 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:41:30 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:41:30 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:42:13 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:42:14 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:42:14 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:42:14 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:42:14 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:42:14 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:42:48 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:42:48 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:42:48 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:42:48 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:42:49 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:42:49 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:43:27 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:43:27 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:43:27 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:43:27 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 12:43:27 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 12:43:27 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 1:34:14 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 1:34:14 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 1:34:14 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 1:34:14 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 1:34:48 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 1:34:48 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 1:34:48 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 1:34:48 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 1:36:20 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 1:36:20 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 1:36:21 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 1:36:21 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
2020-04-26, 1:36:21 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-26, 1:36:21 午後   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
